player,tag,trophies,pl_score,pl_rank,level_9s,level_10s,level_11s,brawlers_11
Blaze,#C0R8YQC,32136,10,Diamond I,27,18,14,"BELLE, BUSTER, BYRON, CHESTER, CROW, GRIFF, GUS, JANET, OTIS, PIPER, POCO, SQUEAK, STU, SURGE"
DOOM,#CPJC0QUV,36353,11,Diamond II,20,12,31,"ASH, BEA, BELLE, BO, BONNIE, BUSTER, CARL, CHESTER, CROW, EMZ, EVE, GENE, GRIFF, GROM, GUS, JANET, LEON, LOLA, NANI, OTIS, PAM, POCO, RICO, RUFFS, SPIKE, SPROUT, SQUEAK, STU, SURGE, TARA"
IX|LIT,#8V09Y2Y8,32994,7,Gold I,35,14,5,"BIBI, CHESTER, MORTIS, RICO, TARA"
KMB | ɴᴀᴛᴛɪᴇ♡,#2CQYQU0QQ,12714,7,Gold I,3,39,2,"BUZZ, PENNY"
LA | FLASH,#2YCQJ00Y,32051,13,Mythic I,37,8,9,"COLETTE, COLT, CROW, FANG, MAX, MORTIS, STU, SURGE, TARA"
Lava Blaze,#2QPRUQJP2,25032,10,Diamond I,21,3,8,"DARRYL, EL PRIMO, GALE, JESSIE, LEON, SANDY, SPIKE, SURGE"
MR.,#9V8GGUQRR,34951,12,Diamond III,22,6,28,"ASH, BELLE, BO, BONNIE, BROCK, BUSTER, BUZZ, CARL, COLETTE, CROW, DARRYL, EMZ, FANG, GENE, GRIFF, LOLA, MAX, MEG, PAM, PENNY, PIPER, POCO, RICO, ROSA, SAM, SHELLY, SPIKE, TICK"
Mini Breeze,#2CVYPV0YP,9099,10,Diamond I,22,6,2,"MORTIS, RICO"
Mini|Benn🎯,#9RVV02QQ,7652,7,Gold I,5,1,7,"BO, DARRYL, LOLA, PAM, PENNY, RICO, SPIKE"
RICOFTW,#9ULG0RR8V,5554,16,Legend I,0,0,7,"BEA, COLT, GROM, JESSIE, PENNY, RICO, SHELLY"
RayDaBest,#200U2RLLV,36795,13,Mythic I,18,32,4,"8-BIT, ASH, BIBI, TICK"
Saurav,#U2Q9L2QU,34855,14,Mythic II,22,24,10,"BEA, CARL, COLT, EMZ, GENE, JACKY, MAX, MORTIS, SURGE, TARA"
Snoopy>.<|をゆひせぬ,#C9RCCU8J,35134,11,Diamond II,5,43,12,"8-BIT, BUSTER, CHESTER, DYNAMIKE, EDGAR, EMZ, GRAY, MEG, PENNY, POCO, STU"
SuperGod,#JVQP8LLY,37212,10,Diamond I,26,4,34,"BEA, BELLE, BIBI, BO, BROCK, BUSTER, BUZZ, BYRON, CARL, CHESTER, COLT, CROW, DARRYL, EMZ, EVE, FANG, GALE, GRIFF, GUS, LEON, LOLA, MAX, MR. P, OTIS, PAM, PENNY, PIPER, POCO, ROSA, SAM, SANDY, SPIKE, STU, TICK"
Synderella,#R80JC998,32569,13,Mythic I,0,0,63,"8-BIT, AMBER, ASH, BARLEY, BEA, BELLE, BIBI, BO, BONNIE, BROCK, BULL, BUSTER, BUZZ, BYRON, CARL, CHESTER, COLETTE, COLT, CROW, DARRYL, DYNAMIKE, EDGAR, EL PRIMO, EMZ, EVE, FANG, FRANK, GALE, GENE, GRAY, GRIFF, GROM, GUS, JACKY, JANET, JESSIE, LEON, LOLA, LOU, MAX, MEG, MORTIS, MR. P, NANI, NITA, OTIS, PAM, PENNY, PIPER, POCO, RICO, ROSA, RUFFS, SAM, SANDY, SHELLY, SPIKE, SPROUT, SQUEAK, STU, ..."
Tribe | LHC 2,#V8VRPRYQ,20183,16,Legend I,2,4,20,"8-BIT, BONNIE, BROCK, CARL, CROW, DARRYL, EL PRIMO, EMZ, EVE, FANG, GROM, GUS, JANET, LEON, OTIS, PENNY, POCO, SPIKE, SPROUT, STU"
Tsunami splash,#82GLQ8VQJ,37251,11,Diamond II,27,17,15,"ASH, BEA, BELLE, BROCK, BUSTER, CARL, CHESTER, COLETTE, CROW, FANG, MORTIS, SPIKE, STU, SURGE"
Ys,#C00LQCUP,30543,6,Silver III,38,11,14,"BARLEY, BO, CROW, DARRYL, EMZ, EVE, JESSIE, NANI, NITA, PENNY, POCO, SANDY, STU, TICK"
_mym_,#82808UG9G,35688,10,Diamond I,30,16,18,"BEA, BO, BUSTER, BYRON, CARL, CHESTER, CROW, GENE, GRIFF, MAX, PAM, POCO, ROSA, RUFFS, SANDY, SPIKE, SURGE, TICK"
axnsan,#2VY2PC0PL,33410,9,Gold III,17,15,32,"8-BIT, AMBER, ASH, BELLE, BO, BONNIE, BROCK, BYRON, CHESTER, COLETTE, CROW, EDGAR, EL PRIMO, EMZ, EVE, GALE, GUS, JESSIE, LEON, LOLA, LOU, MEG, NITA, OTIS, PAM, PENNY, POCO, ROSA, SAM, SANDY, SPIKE, TICK"
cuteangel,#JJV99PV9,37894,13,Mythic I,24,6,33,"AMBER, ASH, BEA, BELLE, BONNIE, BULL, BUSTER, CARL, CHESTER, COLETTE, CROW, EVE, GALE, GENE, GRIFF, GROM, JANET, LEON, LOU, MR. P, NANI, OTIS, PIPER, RICO, RUFFS, SAM, SANDY, SHELLY, SPIKE, SQUEAK, SURGE, TARA, TICK"
eric,#80VR8V9,33025,13,Mythic I,26,18,13,"ASH, BELLE, EVE, GENE, GRIFF, LOLA, LOU, NANI, POCO, SPIKE, SPROUT, SURGE, TICK"
joshua,#C29RQJLU,39987,8,Gold II,0,40,23,"BARLEY, BELLE, BIBI, BO, BYRON, COLT, CROW, DARRYL, EMZ, EVE, GRIFF, LOU, MR. P, NITA, OTIS, PAM, PENNY, POCO, ROSA, SANDY, SQUEAK, TARA, TICK"
komji,#8J9V9U02L,40070,12,Diamond III,0,32,31,"AMBER, ASH, BARLEY, BO, BONNIE, BROCK, BULL, BUSTER, BUZZ, BYRON, CARL, CROW, EVE, FANG, GALE, GENE, GRAY, GRIFF, GUS, JACKY, JANET, MORTIS, OTIS, RICO, ROSA, SAM, SHELLY, SQUEAK, STU, SURGE, TARA"
lolzorsish,#289GU8LR8,30291,13,Mythic I,33,14,15,"BO, BROCK, CARL, COLT, DARRYL, FRANK, GALE, GENE, LEON, NITA, PAM, POCO, SHELLY, STU, TICK"
nik haikal,#P00C0RR8,30070,12,Diamond III,2,27,34,"8-BIT, BEA, BELLE, BO, BONNIE, BROCK, BUSTER, BUZZ, CARL, CHESTER, COLT, CROW, EMZ, EVE, GALE, GRAY, GRIFF, GUS, JANET, LEON, MAX, MEG, MR. P, OTIS, PAM, PIPER, POCO, ROSA, SAM, SANDY, SHELLY, SPIKE, STU, TARA"
shauntws,#GJCYYV0P,31761,11,Diamond II,36,17,11,"ASH, BYRON, CARL, EMZ, EVE, GENE, GRIFF, SANDY, SPIKE, SURGE"
xardas,#2P88VGRL0,33767,13,Mythic I,22,0,41,"BEA, BELLE, BO, BONNIE, BROCK, BUSTER, BUZZ, CARL, CHESTER, COLETTE, CROW, DARRYL, EMZ, EVE, FANG, GALE, GENE, GRAY, GRIFF, GROM, GUS, JANET, LEON, LOLA, LOU, MAX, MR. P, NITA, OTIS, PENNY, PIPER, POCO, RICO, SAM, SANDY, SPIKE, SQUEAK, STU, SURGE, TARA, TICK"
☬ℝ𝔸𝕋𝕋𝕃𝔼ℝ☬,#89GV9UG9Q,40293,10,Diamond I,20,8,35,"AMBER, ASH, BEA, BELLE, BIBI, BO, BROCK, BUZZ, CARL, CHESTER, COLETTE, CROW, DARRYL, EDGAR, EMZ, GALE, GENE, GRIFF, GUS, JESSIE, LEON, MAX, NITA, OTIS, PAM, PENNY, POCO, RUFFS, SPIKE, SPROUT, SQUEAK, STU, SURGE, TARA, TICK"
宇智波鼬,#VR2Q28UG,30079,8,Gold II,38,6,10,"BEA, BO, EMZ, GUS, JACKY, MORTIS, PENNY, PIPER, POCO, SQUEAK"
