rank,players,team,avg_trophies,avg_11s
1,"BennyBoy_, Tribe|LHC, Yanny3",2,46194,28
2,"David, Dead Beat, Oh No! Jotaro",3,39466,12
3,"Blue, Hogglific, ZSilverZ",5,39061,39
4,"Cred, DepressedRekt™, 哥本哈根大使",4,37950,25
5,"XiXi, gkb, one",10,36489,15
6,"JustBeNice, Procrastinator⏳, menoobenelol",9,35881,35
7,"Ethan형사°, Fortnite, MuffinIsCute",6,35329,16
8,"❄|Vırtual ◇, ꧁✨やͪeͧ༒ͨ 𝖊𝖗✨꧂",7,34559,17
9,"SG|🔥Fire🔥, VS∣Daniel, ᴸᴼᵛᴱ ᵞᴼᵁ Aegis",8,33520,6
10,"PFCXF, Sean747❤️Alexa, VS | dragoh",1,24374,21
11,Draku2013,,21084,4
