player,tag,trophies,level_11s,pl_score,pl_rank,highest_pl_score,hightest_pl_rank
Ethan형사°,#R82QLVQJ,45828,37,17,Legend II,17,Legend II
Tribe|LHC,#J2RLUJP2,48360,40,15,Mythic III,17,Legend II
ZSilverZ,#2YQUPUYJ,48242,49,16,Legend I,16,Legend I
Fortnite,#PY0YR2CR8,40847,7,16,Legend I,16,Legend I
❄|Vırtual ◇,#U99LR8PR,33670,11,15,Mythic III,16,Legend I
Procrastinator⏳,#V2JCQQQJ,38662,52,14,Mythic II,16,Legend I
Zachary ϟ,#RQ8RRV0Y,33319,8,11,Diamond II,16,Legend I
Oh No! Jotaro,#YQ0LJU2,51996,21,15,Mythic III,15,Mythic III
哥本哈根大使,#9CQURRU28,43354,27,15,Mythic III,15,Mythic III
menoobenelol,#CP988U8Y,34383,29,15,Mythic III,15,Mythic III
BennyBoy_,#2PR80P8CU,50853,32,14,Mythic II,15,Mythic III
SG|🔥Fire🔥,#CQ8RC802,45221,8,14,Mythic II,15,Mythic III
Blue,#C9LR0R0V,40142,29,14,Mythic II,15,Mythic III
Sean747❤️Alexa,#QYJGL9QU,6739,21,14,Mythic II,15,Mythic III
Hogglific,#UCY09URC,45243,63,13,Mythic I,15,Mythic III
DepressedRekt™,#VY9JJ9RQ,34584,7,13,Mythic I,15,Mythic III
pigeo,#RYVGJYQ2,49800,34,12,Diamond III,15,Mythic III
Draku2013,#2J0JQGPP,23982,6,12,Diamond III,15,Mythic III
PFCXF,#CLR99L9L,38525,30,14,Mythic II,14,Mythic II
VS∣Daniel,#PCRG080,49248,15,13,Mythic I,14,Mythic II
꧁✨やͪeͧ༒ͨ 𝖊𝖗✨꧂,#RQUQG8JY,40220,39,11,Diamond II,14,Mythic II
one,#2LQ899P82,41665,41,12,Diamond III,13,Mythic I
Cred,#RGVL0L8V,43428,63,11,Diamond II,13,Mythic I
JustBeNice,#J90L8C0Y,35136,53,11,Diamond II,13,Mythic I
XiXi,#CJ2Y202J,34294,32,11,Diamond II,13,Mythic I
prasanna,#Y09QC2UJQ,34389,11,10,Diamond I,13,Mythic I
Dead Beat,#2LJGQ02YV,38831,31,9,Gold III,12,Diamond III
VS | dragoh,#GC0LRQ0V,29439,26,0,,12,Diamond III
David,#9UPQVRQ,36259,6,0,,9,Gold III
gkb,#J9CJGRLG,38445,8,8,Gold II,8,Gold II
